# Expression Atlas version: 0.1.4-SNAPSHOT
# Query: Genes matching: '' exactly, specifically expressed in any Developmental stage above the expression level cutoff: -0.1 in experiment E-MTAB-2812, filtered by Sex: hermaphrodite and Organism part: organism
# Timestamp: Tue, 28-Apr-2015 03:38:09
Gene ID	Gene Name	3-fold embryo Ce	4-cell embryo Ce	L1 larva Ce	L2 larva Ce	L2d-dauer molt Ce	L3 larva Ce	L4 larva Ce	adult Ce	dauer larva Ce	elongating embryo Ce	enclosing embryo Ce	fully-elongated embryo Ce	gastrulating embryo Ce	late cleavage stage embryo Ce	newly molted young adult hermaphrodite Ce	post dauer stage Ce	proliferating embryo Ce
WBGene00000070	acy-3	27	0.6	13	17	6	14	4	2	7	19	0.8	25	0.7	10	3	6	4
WBGene00000071	acy-4	3	0.2	4	3	7	4	1	2	5	4	0.6	5	0.5	3	3	4	0.5
WBGene00000072	add-1	8	0.1	11	10	3	8	3	2	3	4	0.3	10	1	2	4	3	2
WBGene00000073	add-2	20	6	13	10	101	11	4	6	96	15	7	17	16	14	8	64	13
WBGene00000074	adm-2	20	8	41	12	20	9	4	11	10	12	0.9	20	4	10	4	7	9
WBGene00000075	adm-4	6	8	3	7	4	7	2	7	3	5	1	6	3	4	5	3	8
WBGene00000079	adr-1	40	10	11	33	21	25	7	33	30	61	21	33	58	66	21	21	73
WBGene00000080	adr-2	39	32	21	17	24	23	10	40	30	60	45	30	70	63	42	24	73
WBGene00000081	ads-1	77	3	59	74	59	108	64	46	33	49	6	86	10	28	65	45	8
WBGene00000082	adt-1	7	0.4	2	8	3	2	4	0.5	0.4	3	1	16	0.8	2	1	0.2	1
WBGene00000083	adt-2	4	0.1	18	32	31	34	8	14	11	4	0.9	4	0.9	4	13	8	1
WBGene00000084	aex-1	4	0	3	3	1	6	1	1	1	0.8	0.1	6	0.2	0.5	3	1	0.4
WBGene00000085	aex-2	4	0	5	4	5	1	1	0.3	4	0.4	0.1	4	0	0.5	1	3	0.4
WBGene00000086	aex-3	31	0.5	28	7	12	5	2	2	13	23	0.8	29	0.9	13	2	9	3
WBGene00000088	aex-5	1	0.2	17	7	4	13	4	5	3	0.6	0.1	5	0.2	0.4	6	3	0.1
WBGene00000089	aex-6	16	0.2	26	18	22	13	6	4	15	3	1	30	3	2	5	11	4
WBGene00000090	age-1	16	23	27	11	11	8	3	28	13	12	1	12	5	11	16	8	15
WBGene00000092	ags-3	33	6	137	16	21	8	6	11	25	34	14	27	25	38	7	17	22
WBGene00000093	agt-1	12	13	5	19	23	16	14	27	21	21	28	9	46	17	23	27	30
WBGene00000094	agt-2	25	13	8	5	5	6	3	11	8	23	9	16	18	26	15	6	27
WBGene00000095	aha-1	60	7	33	18	19	12	4	8	17	63	17	43	27	52	6	14	23
WBGene00000096	ahr-1	15	0.2	10	5	4	0.8	0.7	0.3	5	14	1	10	1	9	0.7	2	2
WBGene00000097	aip-1	31	5	39	24	25	16	13	24	25	32	29	28	29	33	22	16	27
WBGene00000098	air-1	42	123	3	35	15	39	30	119	19	59	43	34	92	75	121	15	144
WBGene00000099	air-2	20	35	9	13	7	11	9	46	11	41	140	17	128	87	55	9	103
WBGene00000100	ajm-1	229	3	69	49	38	30	15	17	25	192	4	196	8	139	12	21	52
WBGene00000101	aka-1	36	31	23	27	28	27	9	55	32	45	3	32	16	43	64	26	22
WBGene00000102	akt-1	59	48	136	44	226	28	17	62	166	42	4	65	27	27	54	83	51
WBGene00000103	akt-2	14	2	80	16	41	10	3	6	33	10	2	24	5	8	5	20	7
WBGene00000105	alg-1	368	7	228	74	48	56	8	21	32	307	11	244	23	288	9	24	49
WBGene00000106	alg-2	65	43	46	24	15	19	5	57	8	101	36	50	113	128	8	10	137
WBGene00000107	alh-1	82	26	66	135	47	200	98	96	87	63	11	61	25	43	131	99	26
WBGene00000108	alh-2	0	0.1	0	0	23	0	0	0	51	0	0	0.1	0	0	0	10	0
WBGene00000109	alh-3	136	3	25	68	33	86	21	25	27	112	6	92	7	59	37	32	12
WBGene00000110	alh-4	56	18	95	72	84	84	31	75	56	47	17	49	36	40	62	40	44
WBGene00000111	alh-5	5	0.2	29	13	12	12	6	3	5	12	2	5	3	11	3	14	1
WBGene00000112	alh-6	26	6	25	33	42	68	30	31	34	19	6	23	9	17	46	26	13
WBGene00000113	alh-7	10	9	13	20	19	16	12	19	15	8	7	10	11	8	11	21	16
WBGene00000114	alh-8	76	33	1655	481	154	464	372	485	1038	154	111	106	119	158	273	625	87
WBGene00000115	alh-9	47	9	16	83	102	181	42	73	57	62	55	28	53	73	119	74	40
WBGene00000116	alh-10	16	0.8	7	14	4	16	6	8	4	37	4	10	8	30	11	8	4
WBGene00000117	alh-11	10	3	20	17	7	25	9	15	10	15	3	10	6	13	14	9	7
WBGene00000118	alh-12	11	1	66	63	27	89	48	25	35	8	18	19	28	14	54	17	17
WBGene00000120	aly-1	121	9	21	34	19	22	11	38	19	172	205	76	426	218	11	17	176
WBGene00000121	aly-2	66	238	15	43	33	57	44	243	49	65	77	62	228	95	153	33	473
WBGene00000122	aly-3	86	62	88	56	33	52	34	80	53	135	134	82	287	152	57	38	158
WBGene00000123	ama-1	42	58	48	40	39	32	8	96	31	54	13	44	77	69	28	39	109
WBGene00000133	amt-1	0	0.1	2	0	45	0.7	0.9	0.3	12	0	0	0.6	0.1	0	1	9	0
WBGene00000134	amt-2	1	0.1	3	2	3	0.6	0.2	0.1	4	0	0.2	3	0.5	0.4	0	2	0.1
WBGene00000135	amt-3	0.4	0.2	18	3	15	1	1	0.3	10	0.1	0.1	3	0.3	0.2	0.7	7	0.5
WBGene00000136	amt-4	8	0.1	9	40	2	55	14	10	4	1	0.2	12	0.1	0.8	20	16	0.4
WBGene00000137	amx-1	18	9	5	7	5	5	2	7	5	31	6	12	15	33	6	5	25
WBGene00000138	amx-2	2	0.2	21	17	18	18	10	6	10	8	2	12	1	9	8	9	2
WBGene00000139	amx-3	7	0	3	3	4	9	3	0.6	4	13	2	4	6	11	3	4	2
WBGene00000140	anc-1	11	2	13	14	8	6	2	3	9	11	0.6	14	0.7	10	6	9	2
WBGene00000142	aos-1	45	47	6	21	22	41	22	37	26	48	57	32	94	50	74	21	76
WBGene00000143	apc-2	15	16	8	8	11	13	3	24	15	16	5	12	18	17	25	10	27
WBGene00000144	apc-10	4	12	0.7	3	10	10	3	24	20	3	8	4	18	3	29	14	21
WBGene00000145	apc-11	35	38	13	18	26	13	12	45	19	69	200	31	245	79	36	20	108
WBGene00000146	ape-1	127	67	48	56	40	26	16	72	30	85	13	109	50	88	37	28	73
WBGene00000147	aph-1	28	13	26	10	10	11	6	24	11	52	55	23	44	64	19	11	37
WBGene00000148	aph-2	25	9	3	16	14	14	4	13	15	46	21	18	34	57	17	12	24
WBGene00000149	apl-1	571	3	924	246	315	194	75	116	213	478	29	618	39	446	58	202	149
WBGene00000150	apm-1	120	3	236	55	30	58	22	8	36	94	20	102	12	55	18	33	9
WBGene00000151	apn-1	10	13	8	7	13	13	6	20	16	23	9	9	22	20	31	11	17
WBGene00000155	app-1	16	66	8	55	27	78	32	93	23	11	7	18	13	11	66	33	55
WBGene00000156	apr-1	47	26	19	19	13	17	6	44	14	82	9	36	31	91	28	9	39
WBGene00000157	aps-2	134	20	35	44	37	47	37	40	16	181	143	98	119	163	35	15	80
WBGene00000158	apg-1	87	12	44	49	28	42	15	35	28	77	13	70	22	77	31	24	30
WBGene00000159	aps-1	77	14	36	49	53	52	44	45	29	131	202	50	164	146	54	33	45
WBGene00000160	apb-1	127	9	113	60	27	44	12	35	24	105	14	112	35	117	30	22	46
WBGene00000161	apa-2	108	9	46	49	25	35	9	24	22	95	13	104	35	97	11	21	56
WBGene00000162	apd-3	31	12	12	15	9	11	4	20	8	24	2	24	11	20	12	7	19
WBGene00000163	apb-3	55	21	29	29	21	21	7	37	26	60	7	54	31	67	28	21	30
WBGene00000164	apm-3	67	6	28	22	15	17	5	10	12	82	49	40	58	76	9	11	42
WBGene00000165	aps-3	68	57	7	33	34	34	34	67	24	107	1983	67	358	124	65	27	161
WBGene00000166	apt-9	5	0	17	5	6	2	1	0.2	4	0.7	0.1	7	0.1	0.3	0.9	4	0.3
WBGene00000168	apx-1	11	46	1	3	4	3	2	58	3	5	3	9	6	5	18	2	39
WBGene00000169	aqp-1	4	0.7	24	47	9	49	19	23	3	1	0.4	11	0	0.6	32	13	0.1
WBGene00000170	aqp-2	2872	1	822	207	475	80	30	26	305	2153	224	1180	181	2333	16	110	455
WBGene00000171	aqp-3	0	0	0	0	13	0.1	0.5	0.9	7	0	0	0	0	0	0.8	6	0
WBGene00000172	aqp-4	106	0.3	11	42	14	56	23	8	5	22	0	87	0	4	17	25	3
WBGene00000173	aqp-5	1	0	2	0.9	0.4	0.5	0.5	0.1	0.5	0	0.1	4	0	0.1	0.3	0.3	0.3
WBGene00000174	aqp-6	0.8	0	6	2	17	0.5	0.8	0.5	13	1	2	3	3	3	0.9	8	1
WBGene00000175	aqp-7	92	2	162	140	23	206	62	62	6	38	2	60	3	12	100	28	6
WBGene00000176	aqp-8	9	0.5	13	39	7	98	8	44	1	0.8	0.2	14	0.4	0.7	63	8	1
WBGene00000177	aqp-9	1	0.1	6	9	13	13	4	2	8	0.7	1	5	2	0.6	5	9	1
WBGene00000178	aqp-10	114	6	42	75	31	113	52	24	17	182	316	90	231	242	41	25	46
WBGene00000179	aqp-11	61	3	6	42	27	67	48	25	18	82	56	42	47	83	47	30	22
WBGene00000180	arc-1	23	3	13	15	21	13	5	5	11	24	8	19	10	24	7	13	6
WBGene00000181	ard-1	54	47	28	135	73	140	143	93	68	69	576	47	237	88	143	80	156
WBGene00000182	arf-1.2	746	97	285	366	225	380	155	200	154	665	332	651	608	1056	152	220	562
WBGene00000183	arf-3	1078	164	304	447	273	491	270	334	252	816	896	674	795	929	274	272	780
WBGene00000184	arf-6	88	8	30	17	18	31	22	31	22	77	48	59	51	80	27	14	45
WBGene00000185	arg-1	0	0	2	0.3	0.8	0.1	0	0.1	0.1	0	0.2	0.4	0.2	0	0	0.3	0.5
WBGene00000186	ark-1	58	8	19	17	15	12	3	17	12	30	1	47	5	18	9	9	11
WBGene00000187	arl-1	65	7	14	39	30	42	29	27	25	72	70	56	61	71	34	24	38
WBGene00000188	arl-3	76	0	50	20	22	4	2	2	17	37	0.7	53	2	10	1	13	5
WBGene00000189	arl-5	31	14	10	10	8	11	6	12	8	45	49	20	53	26	19	7	35
WBGene00000190	arf-1.1	0.2	0	3	0.9	1	4	3	1	0.6	0	0.4	1	0.2	0.3	2	0.8	0.2
WBGene00000191	arl-7	1	0	3	0.9	1	1	1	0.9	1	0.3	0	4	0.3	0.2	1	2	0.3
WBGene00000192	arl-8	130	99	74	68	63	63	40	88	47	106	67	104	99	109	86	48	119
WBGene00000193	arl-6	15	0	3	2	4	0.7	0.3	0.3	3	19	9	15	8	8	0.7	3	3
WBGene00000195	arr-1	46	8	24	18	17	11	4	15	17	42	45	40	43	44	6	14	40
WBGene00000196	aars-1	8	3	5	7	6	9	3	5	8	8	2	7	5	8	9	6	3
WBGene00000197	aars-2	48	84	40	74	46	80	36	145	52	35	14	45	55	33	72	65	103
WBGene00000198	art-1	130	46	64	209	72	219	119	135	74	152	69	111	145	151	138	69	121
WBGene00000199	arx-1	93	20	114	66	26	48	16	47	26	80	30	73	34	87	40	25	48
WBGene00000200	arx-2	76	36	148	62	42	54	19	51	37	76	59	65	62	85	58	38	55
WBGene00000201	arx-3	107	32	105	61	36	52	22	47	47	83	74	78	72	85	44	41	70
WBGene00000202	exos-4.2	7	52	5	8	16	12	9	46	18	12	69	7	47	19	23	22	48
WBGene00000203	arx-5	84	31	10	45	34	31	29	48	24	94	121	48	101	98	36	27	38
WBGene00000204	arx-6	120	12	66	57	40	66	31	64	37	135	353	83	141	166	60	39	63
WBGene00000205	arx-7	58	23	10	25	21	21	26	38	11	55	97	34	86	50	30	14	57
WBGene00000206	asb-1	37	100	9	29	37	71	49	138	45	32	75	32	138	33	165	38	243
WBGene00000207	asb-2	232	22	241	557	305	470	297	186	316	158	395	269	270	164	219	291	143
WBGene00000208	asc-1	14	11	23	19	15	16	13	30	22	20	59	10	27	26	18	13	31
WBGene00000209	asg-1	101	120	10	186	141	201	238	269	77	150	667	83	710	143	234	91	369
WBGene00000210	asg-2	192	35	53	426	221	433	386	159	135	159	189	205	206	133	206	142	124
WBGene00000211	asm-1	2	0.4	9	5	4	6	3	3	3	0.7	13	6	31	4	4	8	15
WBGene00000212	asm-2	0.8	0.1	11	8	9	9	4	6	10	0	0.4	3	0.1	0.2	9	10	0.1
WBGene00000213	asm-3	0	0.9	3	10	2	6	4	20	0.3	0	0.2	0.2	0	0.2	11	0.2	0.1
WBGene00000214	asp-1	126	28	1357	2135	237	2434	1653	2282	41	5	0.9	452	0.6	2	1153	225	18
WBGene00000215	asp-2	43	4	122	305	14	485	208	222	4	5	0.1	72	0.5	1	259	40	3
WBGene00000216	asp-3	99	9	392	786	84	1010	451	757	30	8	0.1	169	0.6	1	542	88	7
WBGene00000217	asp-4	117	3	154	144	187	182	127	192	205	335	462	56	150	383	96	135	46
WBGene00000218	asp-5	46	7	1525	949	96	867	543	1215	24	2	0.5	150	0.3	0.6	369	63	4
WBGene00000219	asp-6	26	13	3301	995	191	1289	540	1644	33	1	0.3	186	0.2	0.1	501	109	6
WBGene00000220	atf-2	440	0.4	4	39	10	17	3	2	1	321	7	201	8	116	2	0.6	55
WBGene00000221	atf-5	228	2	129	147	99	120	61	41	71	128	35	181	32	103	47	54	24
WBGene00000222	atf-6	40	3	66	16	14	12	3	7	22	44	3	28	10	42	4	17	12
WBGene00000223	atf-7	94	36	305	66	74	67	20	75	61	122	42	115	60	170	46	67	67
WBGene00000224	atgp-1	253	3	129	61	37	40	18	14	35	201	9	189	8	73	12	33	31
WBGene00000225	atgp-2	77	4	43	28	29	24	5	7	15	27	1	58	4	15	7	15	11
WBGene00000226	atl-1	7	5	5	8	8	12	3	11	12	11	1	7	7	10	15	9	6
WBGene00000227	atm-1	9	9	6	5	4	4	1	12	3	6	0.9	9	6	8	7	2	12
WBGene00000228	atn-1	51	3	50	100	122	123	38	39	23	35	4	76	9	16	41	16	9
WBGene00000229	atp-2	666	482	962	1745	778	1889	677	1395	856	447	400	724	1050	477	1066	838	1542
WBGene00000230	atp-3	277	126	416	522	308	480	355	346	362	240	685	253	635	257	360	287	438
WBGene00000231	atx-2	72	66	82	55	52	73	30	144	37	82	16	86	40	105	28	30	80
WBGene00000232	avr-14	14	0.4	16	11	15	6	2	0.9	12	5	0.7	20	1	3	2	12	2
WBGene00000233	avr-15	4	0.2	41	9	40	7	2	3	35	0.1	0.4	8	0.3	0.3	5	28	0.2
WBGene00000235	baf-1	116	127	26	164	70	142	96	184	56	253	1045	97	916	500	145	80	441
WBGene00000236	bag-1	27	45	5	29	19	41	35	60	21	49	67	24	102	66	65	18	72
WBGene00000237	bam-2	54	1	50	20	19	18	4	6	13	42	2	51	4	30	4	9	8
WBGene00000238	bar-1	20	0.1	19	18	14	14	4	3	13	17	1	18	0.7	8	5	14	2
WBGene00000239	bas-1	8	0.5	12	17	10	26	11	7	4	4	0.8	14	0.9	4	11	10	2
WBGene00000240	pah-1	44	0.2	150	71	49	78	26	37	43	28	10	63	3	25	50	46	5
WBGene00000241	bbs-1	14	0	6	1	2	0.5	0.4	0.1	3	6	0.2	10	0.3	2	0.3	2	1
WBGene00000242	bbs-2	14	0	2	2	3	0.4	0.5	0.1	2	12	0.4	11	0.3	4	0.6	1	0.7
WBGene00000244	bbs-8	15	0	10	3	4	1	0.6	0.4	4	3	0.3	13	0.1	0.7	0.8	3	0.8
WBGene00000245	bca-1	9	5	28	43	14	27	17	14	9	4	1	9	6	4	18	17	6
WBGene00000246	bcc-1	0.1	0.2	4	7	16	15	4	1	13	0.2	0.1	2	0	0.4	3	10	0.4
WBGene00000247	bec-1	32	5	17	20	48	18	17	25	49	41	26	25	34	44	22	28	25
WBGene00000248	ben-1	160	15	29	41	8	16	16	18	7	151	24	116	23	91	21	8	35
WBGene00000249	bir-1	78	22	25	21	16	15	8	38	18	97	319	43	251	152	33	20	100
WBGene00000250	bir-2	9	20	3	3	7	9	2	45	13	4	3	6	10	3	35	5	24
WBGene00000251	bli-1	0.7	0.1	1	0.3	0.4	129	52	3	0.2	0.8	0	0.9	0	2	2	0.3	0.1
WBGene00000252	bli-2	0.3	0	0.2	0.7	0.5	186	231	4	0.4	0.2	0.5	0.5	0.7	1	5	0.2	1
WBGene00000253	bli-3	22	1	11	16	23	15	6	5	8	16	0.9	33	3	15	5	5	4
WBGene00000254	bli-4	57	28	26	42	57	47	28	51	43	45	4	65	19	33	44	42	42
WBGene00000255	bli-5	0	0.1	0.1	5	8	6	8	0.9	1	0	0.8	3	0.5	0.2	2	0.3	0.1
WBGene00000256	bli-6	0	0.1	0.1	0	0.9	171	1180	27	0.1	0	0.7	0.2	0.1	0	61	0.3	0.3
WBGene00000257	bmk-1	10	16	3	11	7	10	8	40	10	31	24	8	61	42	24	8	54
WBGene00000259	bpl-1	6	3	16	8	12	9	4	8	12	6	2	8	3	7	10	9	3
WBGene00000262	bra-1	35	6	11	7	8	6	3	9	7	61	178	25	102	92	5	7	30
WBGene00000263	F23H11.5	354	126	130	672	297	477	558	532	232	221	1666	252	1147	266	339	323	691
WBGene00000264	brc-1	4	7	2	5	3	5	4	17	7	11	9	5	21	18	16	4	19
WBGene00000265	brd-1	6	10	1	5	3	8	3	19	5	15	17	6	23	23	14	4	27
WBGene00000266	bre-1	171	0.7	8	39	28	47	18	5	14	76	8	95	14	35	12	16	9
WBGene00000267	bre-2	9	0.4	9	3	7	4	3	1	8	9	0.8	8	2	5	3	5	1
WBGene00000268	bre-3	23	13	57	22	67	25	14	31	32	18	0.9	22	6	10	32	26	12
WBGene00000269	bre-4	9	5	10	10	14	13	5	14	9	8	4	13	7	8	8	7	10
WBGene00000270	bre-5	6	7	3	3	5	6	3	4	6	10	11	6	15	13	10	5	6
WBGene00000271	brf-1	17	19	13	10	12	12	3	22	17	30	4	16	16	27	20	14	20
WBGene00000272	bro-1	71	0	0.8	10	5	2	2	0.3	7	75	3	28	3	33	0	3	5
WBGene00000273	brp-1	142	4	1467	244	1252	204	93	455	1825	13	1	216	3	3	107	1246	15
WBGene00000274	btf-1	4	8	3	7	6	10	3	17	7	7	1	6	5	7	12	4	11
WBGene00000275	bub-1	19	42	4	18	12	20	14	73	12	42	75	16	89	67	49	12	153
WBGene00000276	byn-1	80	16	252	93	150	69	28	55	339	100	123	77	140	115	60	291	90
WBGene00000277	cab-1	62	3	1433	208	341	74	29	44	473	60	10	99	12	57	30	426	8
WBGene00000279	cah-1	25	3	8	5	9	3	1	1	7	7	7	22	9	5	2	5	6
WBGene00000280	cah-2	17	0.1	5	6	9	3	1	0.4	8	3	0.4	15	1	1	1	7	1
WBGene00000281	cah-3	2	0.3	73	61	108	98	32	26	71	0.5	0.1	10	0	0.3	47	53	0.6
WBGene00000282	cah-4	25	3	153	103	152	139	66	75	81	23	1	26	3	11	92	98	4
WBGene00000283	cah-5	56	0.2	18	32	28	29	13	16	10	12	0.7	36	0	2	20	11	1
WBGene00000284	cah-6	17	0.4	62	19	52	6	2	2	30	5	3	38	3	4	2	28	4
WBGene00000285	cal-1	11	0.2	19	17	27	15	12	3	21	3	0.8	18	0.8	3	7	18	2
WBGene00000286	cal-2	21	0.4	109	21	42	12	6	3	70	4	0.5	20	0.4	2	6	38	1
WBGene00000287	cal-3	5	0	7	5	3	5	1	1	8	2	0	4	0.2	1	1	3	0
