GO:0000165	MAPK cascade
GO:0034654	nucleobase-containing compound biosynthetic process
GO:0035264	multicellular organism growth
GO:0036211	protein modification process
GO:0040007	growth
GO:0043009	chordate embryonic development
GO:0043170	macromolecule metabolic process
GO:0043226	organelle
GO:0043227	membrane-bounded organelle
GO:0043229	intracellular organelle
GO:0043231	intracellular membrane-bounded organelle
GO:0043408	regulation of MAPK cascade
GO:0043412	macromolecule modification
GO:0043565	sequence-specific DNA binding
GO:0044212	transcription regulatory region DNA binding
GO:0044237	cellular metabolic process
GO:0044238	primary metabolic process
GO:0044249	cellular biosynthetic process
GO:0044260	cellular macromolecule metabolic process
GO:0044267	cellular protein metabolic process
GO:0044271	cellular nitrogen compound biosynthetic process
GO:0044424	intracellular part
GO:0044464	cell part
GO:0044699	single-organism process
GO:0044707	single-multicellular organism process
GO:0044763	single-organism cellular process
GO:0044767	single-organism developmental process
GO:0045595	regulation of cell differentiation
GO:0045892	negative regulation of transcription, DNA-dependent
GO:0045893	positive regulation of transcription, DNA-dependent
GO:0045934	negative regulation of nucleobase-containing compound metabolic process
GO:0045935	positive regulation of nucleobase-containing compound metabolic process
GO:0046328	regulation of JNK cascade
GO:0046483	heterocycle metabolic process
GO:0048468	cell development
GO:0048513	organ development
GO:0048518	positive regulation of biological process
GO:0048519	negative regulation of biological process
GO:0048522	positive regulation of cellular process
GO:0048523	negative regulation of cellular process
GO:0048583	regulation of response to stimulus
GO:0048598	embryonic morphogenesis
GO:0048699	generation of neurons
GO:0048704	embryonic skeletal system morphogenesis
GO:0048705	skeletal system morphogenesis
GO:0048706	embryonic skeletal system development
GO:0048731	system development
GO:0048856	anatomical structure development
GO:0048869	cellular developmental process
GO:0050789	regulation of biological process
GO:0050793	regulation of developmental process
GO:0050794	regulation of cellular process
GO:0051171	regulation of nitrogen compound metabolic process
GO:0051172	negative regulation of nitrogen compound metabolic process
GO:0051173	positive regulation of nitrogen compound metabolic process
GO:0051239	regulation of multicellular organismal process
GO:0051252	regulation of RNA metabolic process
GO:0051253	negative regulation of RNA metabolic process
GO:0051254	positive regulation of RNA metabolic process
GO:0051403	stress-activated MAPK cascade
GO:0060255	regulation of macromolecule metabolic process
GO:0065007	biological regulation
GO:0071704	organic substance metabolic process
GO:0071840	cellular component organization or biogenesis
GO:0080090	regulation of primary metabolic process
GO:0090304	nucleic acid metabolic process
GO:0097159	organic cyclic compound binding
GO:1901360	organic cyclic compound metabolic process
GO:1901362	organic cyclic compound biosynthetic process
GO:1901363	heterocyclic compound binding
GO:1901576	organic substance biosynthetic process
GO:2000026	regulation of multicellular organismal development
GO:2000112	regulation of cellular macromolecule biosynthetic process
GO:2000113	negative regulation of cellular macromolecule biosynthetic process
GO:2001141	regulation of RNA biosynthetic process

